"musician","vs","support","hillary.clinton","bernie.sanders","squad","race";"better","dem","vote"; 1.0
"musician","vs","support","dem","bernie.sanders","squad","vote";"better","hillary.clinton","race"; 0.875
"musician","vs","support","dem","hillary.clinton","vote","squad";"better","bernie.sanders","race"; 0.875
"musician","vs","support","dem","hillary.clinton","bernie.sanders","vote";"better","squad","race"; 0.875
"musician","vs","support","dem","hillary.clinton","bernie.sanders","squad";"better","race","vote"; 0.875
"musician","vs","support","better","vote","squad","race";"dem","hillary.clinton","bernie.sanders"; 1.0
"musician","vs","support","better","bernie.sanders","vote","race";"dem","hillary.clinton","squad"; 1.0
"musician","vs","support","better","bernie.sanders","squad","vote";"dem","hillary.clinton","race"; 1.0
"musician","vs","support","better","bernie.sanders","squad","race";"dem","hillary.clinton","vote"; 1.0
"musician","vs","support","better","hillary.clinton","vote","race";"dem","bernie.sanders","squad"; 1.0
"musician","vs","support","better","hillary.clinton","vote","squad";"dem","bernie.sanders","race"; 1.0
"musician","vs","support","better","hillary.clinton","squad","race";"dem","bernie.sanders","vote"; 1.0
"musician","vs","support","better","hillary.clinton","bernie.sanders","vote";"dem","squad","race"; 1.0
"musician","vs","support","better","hillary.clinton","bernie.sanders","race";"dem","squad","vote"; 1.0
"musician","vs","support","better","hillary.clinton","bernie.sanders","squad";"dem","race","vote"; 1.0
"musician","vs","support","better","dem","vote","squad";"hillary.clinton","bernie.sanders","race"; 0.875
"musician","vs","support","better","dem","bernie.sanders","vote";"hillary.clinton","squad","race"; 0.875
"musician","vs","support","better","dem","bernie.sanders","squad";"hillary.clinton","race","vote"; 0.875
"musician","vs","support","better","dem","hillary.clinton","vote";"bernie.sanders","squad","race"; 0.875
"musician","vs","support","better","dem","hillary.clinton","squad";"bernie.sanders","race","vote"; 0.875
"musician","vs","support","better","dem","hillary.clinton","bernie.sanders";"squad","race","vote"; 0.875
"better","hillary.clinton","bernie.sanders","squad","race","vote";"musician","vs","support","dem"; 1.0
"better","dem","hillary.clinton","bernie.sanders","squad","vote";"musician","vs","support","race"; 0.875
"support","hillary.clinton","bernie.sanders","squad","race","vote";"musician","vs","better","dem"; 1.0
"support","dem","hillary.clinton","bernie.sanders","squad","vote";"musician","vs","better","race"; 0.875
"support","better","bernie.sanders","squad","race","vote";"musician","vs","dem","hillary.clinton"; 1.0
"support","better","hillary.clinton","vote","squad","race";"musician","vs","dem","bernie.sanders"; 1.0
"support","better","hillary.clinton","bernie.sanders","vote","race";"musician","vs","dem","squad"; 1.0
"support","better","hillary.clinton","bernie.sanders","squad","vote";"musician","vs","dem","race"; 1.0
"support","better","hillary.clinton","bernie.sanders","squad","race";"musician","vs","dem","vote"; 1.0
"support","better","dem","bernie.sanders","squad","vote";"musician","vs","hillary.clinton","race"; 0.875
"support","better","dem","hillary.clinton","vote","squad";"musician","vs","bernie.sanders","race"; 0.875
"support","better","dem","hillary.clinton","bernie.sanders","vote";"musician","vs","squad","race"; 0.875
"support","better","dem","hillary.clinton","bernie.sanders","squad";"musician","vs","race","vote"; 0.875
"vs","hillary.clinton","bernie.sanders","squad","race","vote";"musician","support","better","dem"; 1.0
"vs","dem","hillary.clinton","bernie.sanders","squad","vote";"musician","support","better","race"; 0.875
"vs","better","bernie.sanders","squad","race","vote";"musician","support","dem","hillary.clinton"; 1.0
"vs","better","hillary.clinton","vote","squad","race";"musician","support","dem","bernie.sanders"; 1.0
"vs","better","hillary.clinton","bernie.sanders","vote","race";"musician","support","dem","squad"; 1.0
"vs","better","hillary.clinton","bernie.sanders","squad","vote";"musician","support","dem","race"; 1.0
"vs","better","hillary.clinton","bernie.sanders","squad","race";"musician","support","dem","vote"; 1.0
"vs","better","dem","bernie.sanders","squad","vote";"musician","support","hillary.clinton","race"; 0.875
"vs","better","dem","hillary.clinton","vote","squad";"musician","support","bernie.sanders","race"; 0.875
"vs","better","dem","hillary.clinton","bernie.sanders","vote";"musician","support","squad","race"; 0.875
"vs","better","dem","hillary.clinton","bernie.sanders","squad";"musician","support","race","vote"; 0.875
"vs","support","bernie.sanders","squad","race","vote";"musician","better","dem","hillary.clinton"; 1.0
"vs","support","hillary.clinton","vote","squad","race";"musician","better","dem","bernie.sanders"; 1.0
"vs","support","hillary.clinton","bernie.sanders","vote","race";"musician","better","dem","squad"; 1.0
"vs","support","hillary.clinton","bernie.sanders","squad","vote";"musician","better","dem","race"; 1.0
"vs","support","hillary.clinton","bernie.sanders","squad","race";"musician","better","dem","vote"; 1.0
"vs","support","dem","bernie.sanders","squad","vote";"musician","better","hillary.clinton","race"; 0.875
"vs","support","dem","hillary.clinton","vote","squad";"musician","better","bernie.sanders","race"; 0.875
"vs","support","dem","hillary.clinton","bernie.sanders","vote";"musician","better","squad","race"; 0.875
"vs","support","dem","hillary.clinton","bernie.sanders","squad";"musician","better","race","vote"; 0.875
"vs","support","better","vote","squad","race";"musician","dem","hillary.clinton","bernie.sanders"; 1.0
"vs","support","better","bernie.sanders","vote","race";"musician","dem","hillary.clinton","squad"; 1.0
"vs","support","better","bernie.sanders","squad","vote";"musician","dem","hillary.clinton","race"; 1.0
"vs","support","better","bernie.sanders","squad","race";"musician","dem","hillary.clinton","vote"; 1.0
"vs","support","better","hillary.clinton","vote","race";"musician","dem","bernie.sanders","squad"; 1.0
"vs","support","better","hillary.clinton","vote","squad";"musician","dem","bernie.sanders","race"; 1.0
"vs","support","better","hillary.clinton","squad","race";"musician","dem","bernie.sanders","vote"; 1.0
"vs","support","better","hillary.clinton","bernie.sanders","vote";"musician","dem","squad","race"; 1.0
"vs","support","better","hillary.clinton","bernie.sanders","race";"musician","dem","squad","vote"; 1.0
"vs","support","better","hillary.clinton","bernie.sanders","squad";"musician","dem","race","vote"; 1.0
"vs","support","better","dem","vote","squad";"musician","hillary.clinton","bernie.sanders","race"; 0.875
"vs","support","better","dem","bernie.sanders","vote";"musician","hillary.clinton","squad","race"; 0.875
"vs","support","better","dem","bernie.sanders","squad";"musician","hillary.clinton","race","vote"; 0.875
"vs","support","better","dem","hillary.clinton","vote";"musician","bernie.sanders","squad","race"; 0.875
"vs","support","better","dem","hillary.clinton","squad";"musician","bernie.sanders","race","vote"; 0.875
"vs","support","better","dem","hillary.clinton","bernie.sanders";"musician","squad","race","vote"; 0.875
"musician","hillary.clinton","bernie.sanders","squad","race","vote";"vs","support","better","dem"; 1.0
"musician","dem","hillary.clinton","bernie.sanders","squad","vote";"vs","support","better","race"; 0.875
"musician","better","bernie.sanders","squad","race","vote";"vs","support","dem","hillary.clinton"; 1.0
"musician","better","hillary.clinton","vote","squad","race";"vs","support","dem","bernie.sanders"; 1.0
"musician","better","hillary.clinton","bernie.sanders","vote","race";"vs","support","dem","squad"; 1.0
"musician","better","hillary.clinton","bernie.sanders","squad","vote";"vs","support","dem","race"; 1.0
"musician","better","hillary.clinton","bernie.sanders","squad","race";"vs","support","dem","vote"; 1.0
"musician","better","dem","bernie.sanders","squad","vote";"vs","support","hillary.clinton","race"; 0.875
"musician","better","dem","hillary.clinton","vote","squad";"vs","support","bernie.sanders","race"; 0.875
"musician","better","dem","hillary.clinton","bernie.sanders","vote";"vs","support","squad","race"; 0.875
"musician","better","dem","hillary.clinton","bernie.sanders","squad";"vs","support","race","vote"; 0.875
"musician","support","bernie.sanders","squad","race","vote";"vs","better","dem","hillary.clinton"; 1.0
"musician","support","hillary.clinton","vote","squad","race";"vs","better","dem","bernie.sanders"; 1.0
"musician","support","hillary.clinton","bernie.sanders","vote","race";"vs","better","dem","squad"; 1.0
"musician","support","hillary.clinton","bernie.sanders","squad","vote";"vs","better","dem","race"; 1.0
"musician","support","hillary.clinton","bernie.sanders","squad","race";"vs","better","dem","vote"; 1.0
"musician","support","dem","bernie.sanders","squad","vote";"vs","better","hillary.clinton","race"; 0.875
"musician","support","dem","hillary.clinton","vote","squad";"vs","better","bernie.sanders","race"; 0.875
"musician","support","dem","hillary.clinton","bernie.sanders","vote";"vs","better","squad","race"; 0.875
